                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.023,                0.90085,                 1.0028,                0.91197,                0.91667,                0.90973,                0.32702,                 2.1593,                0.90747,                0.94203,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9639,                 0.8721,                0.97789,                0.89442,                0.88333,                0.91112,                0.29361,                 2.2733,                0.90948,                 0.9391,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9728,                0.88028,                0.99931,                0.88845,                0.86667,                0.89298,                0.34181,                 2.0776,                0.88576,                0.92232,               0.001307,               0.001307,               0.001307
                     38,                 1.9999,                0.85977,                 0.9795,                0.87422,                0.81097,                0.81147,                0.26743,                 2.3252,                 1.0038,                0.95456,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9156,                0.86455,                 1.0327,                0.76849,                0.83333,                0.81893,                0.26264,                 2.3468,                0.98878,                  1.011,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0375,                0.87779,                 0.9841,                0.81868,                0.91667,                0.89423,                0.29734,                 2.2579,                0.98442,                0.95178,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9252,                0.84873,                0.98861,                0.82047,                0.83792,                0.85954,                 0.3175,                 2.2744,                0.87403,                0.96478,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0074,                0.88947,                0.98594,                0.87753,                   0.85,                0.87564,                0.31427,                 2.2748,                0.87167,                0.94914,               0.001208,               0.001208,               0.001208
                     43,                 1.8297,                0.81647,                0.95423,                0.90356,                    0.9,                0.89938,                0.32312,                 2.2761,                0.91915,                0.95563,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.9854,                0.87058,                0.99595,                0.89313,                    0.9,                0.88584,                0.27452,                 2.3052,                0.93651,                0.97846,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.9393,                0.82227,                0.99849,                0.82486,                   0.85,                0.84015,                0.28173,                 2.3907,                0.92973,                0.97989,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8737,                0.82356,                0.97556,                0.87846,                0.84333,                0.81778,                0.26836,                 2.4218,                0.92504,                  0.997,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.912,                0.87175,                0.97586,                0.88425,                0.76397,                0.84886,                0.28168,                 2.3348,                0.97745,                0.95329,               0.001109,               0.001109,               0.001109
                     48,                 1.8308,                0.78966,                 0.9668,                 0.7188,                    0.6,                0.66891,                0.22873,                  2.546,                 1.2795,                0.96932,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9201,                0.80764,                0.94713,                0.85125,                0.88333,                0.87045,                0.32183,                 2.1273,                0.89488,                 0.9465,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8002,                0.78787,                0.98344,                0.83734,                0.85803,                0.85715,                0.29685,                 2.3538,                0.93117,                 0.9643,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.886,                0.81817,                0.96968,                0.88047,                0.85944,                0.87565,                0.28027,                 2.2831,                0.92717,                0.93146,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8809,                0.80049,                0.96527,                0.83506,                   0.85,                0.85099,                0.32174,                 2.1714,                0.88883,                 0.9423,                0.00101,                0.00101,                0.00101
                     53,                   1.77,                0.76005,                 1.0163,                 0.8017,                0.80864,                0.73611,                0.21561,                 2.5929,                 1.0425,                 1.0454,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.749,                0.76626,                0.95985,                0.88378,                    0.9,                0.88603,                0.28458,                 2.3391,                0.88697,                0.93338,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7471,                0.75767,                0.98142,                0.81241,                   0.85,                 0.7944,                0.24211,                 2.3822,                0.97966,                0.97166,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7728,                0.75277,                 0.9594,                0.91641,                0.91362,                0.92313,                0.33344,                 2.2008,                 0.9328,                0.92422,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9146,                0.82968,                0.96612,                0.80435,                0.82231,                0.81313,                 0.2792,                 2.3207,                0.96168,                0.96491,               0.000911,               0.000911,               0.000911
                     58,                 1.7813,                0.79722,                  0.971,                0.90723,                0.81497,                0.87959,                0.30677,                 2.2751,                0.88713,                0.96226,              0.0008912,              0.0008912,              0.0008912
