epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2467,1.2161,0.56859,0.92067,0.81229,0.74586,0.75333,0.29881,2.12452,0.90912,1.12732,0.0667116,1.66525e-05,1.66525e-05
2,135.542,1.0652,0.48552,0.88061,0.86427,0.80488,0.82371,0.34541,2.059,0.80998,1.1459,0.0333949,3.33155e-05,3.33155e-05
3,200.684,0.98212,0.4345,0.86383,0.86075,0.81734,0.84499,0.3722,2.03103,0.77004,1.12105,7.82365e-05,4.99639e-05,4.99639e-05
4,265.335,0.94321,0.41475,0.85715,0.85938,0.81485,0.83982,0.37329,2.02837,0.7634,1.1261,4.99507e-05,4.99507e-05,4.99507e-05
5,330.28,0.92343,0.40611,0.85184,0.85417,0.81301,0.84078,0.36845,2.04027,0.76505,1.1303,4.99123e-05,4.99123e-05,4.99123e-05
6,395.02,0.92128,0.4067,0.85254,0.86287,0.81172,0.84357,0.36479,2.05106,0.77614,1.13039,4.9863e-05,4.9863e-05,4.9863e-05
7,459.714,0.9033,0.40228,0.84886,0.85856,0.82439,0.84657,0.36689,2.05195,0.76386,1.13257,4.98029e-05,4.98029e-05,4.98029e-05
8,524.557,0.90425,0.40248,0.84909,0.85228,0.81928,0.84471,0.3696,2.05784,0.76379,1.13042,4.97318e-05,4.97318e-05,4.97318e-05
9,589.216,0.89957,0.39663,0.84739,0.86007,0.8195,0.85013,0.37077,2.03501,0.75537,1.13365,4.96499e-05,4.96499e-05,4.96499e-05
10,653.98,0.89544,0.39807,0.84765,0.85854,0.81911,0.84268,0.36842,2.05116,0.76422,1.13882,4.95572e-05,4.95572e-05,4.95572e-05
11,718.498,0.89478,0.39669,0.84694,0.8516,0.81843,0.84662,0.37221,2.03795,0.7616,1.1333,4.94537e-05,4.94537e-05,4.94537e-05
12,783.476,0.88429,0.39436,0.84346,0.8651,0.82385,0.8511,0.36836,2.05225,0.76833,1.1339,4.93395e-05,4.93395e-05,4.93395e-05
13,848.008,0.87899,0.39322,0.84553,0.86304,0.81631,0.84915,0.37562,2.04069,0.75624,1.13798,4.92146e-05,4.92146e-05,4.92146e-05
14,912.542,0.87817,0.39237,0.84296,0.86513,0.81702,0.84767,0.36917,2.03477,0.76516,1.13594,4.90791e-05,4.90791e-05,4.90791e-05
15,977.492,0.86735,0.38847,0.84165,0.87009,0.8206,0.84924,0.37023,2.04426,0.75945,1.14183,4.8933e-05,4.8933e-05,4.8933e-05
16,1042.32,0.866,0.38789,0.84141,0.85998,0.81626,0.84953,0.37224,2.04632,0.76705,1.1408,4.87764e-05,4.87764e-05,4.87764e-05
17,1107.36,0.86777,0.38779,0.84388,0.85555,0.81626,0.84307,0.36752,2.04747,0.75997,1.14371,4.86094e-05,4.86094e-05,4.86094e-05
18,1172.1,0.86195,0.38438,0.84062,0.87315,0.81332,0.85341,0.3736,2.03819,0.75955,1.14066,4.84321e-05,4.84321e-05,4.84321e-05
19,1236.91,0.85636,0.38491,0.83914,0.86317,0.8168,0.8488,0.36982,2.04581,0.76028,1.14623,4.82444e-05,4.82444e-05,4.82444e-05
20,1301.55,0.85341,0.38346,0.84048,0.86771,0.81572,0.85157,0.37177,2.03886,0.75933,1.13769,4.80466e-05,4.80466e-05,4.80466e-05
21,1366.39,0.85456,0.38403,0.83903,0.87762,0.81236,0.85531,0.37087,2.0537,0.76994,1.1458,4.78386e-05,4.78386e-05,4.78386e-05
