epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2020.52,1.17947,0.53728,0.91176,0.84823,0.80163,0.83248,0.36069,1.9878,0.80339,1.07959,0.000449924,0.000449924,0.000449924
43,2068.59,1.17382,0.53593,0.91042,0.84734,0.80023,0.83112,0.3585,1.98884,0.80301,1.0813,0.000447541,0.000447541,0.000447541
44,2116.72,1.16194,0.53137,0.90739,0.84872,0.79837,0.82717,0.36117,1.98501,0.80051,1.08118,0.00044511,0.00044511,0.00044511
45,2164.71,1.17042,0.52893,0.91075,0.85185,0.79781,0.83037,0.36149,1.98529,0.79754,1.08099,0.000442631,0.000442631,0.000442631
46,2212.72,1.15557,0.52446,0.90252,0.85184,0.79774,0.81029,0.34278,1.98253,0.80509,1.08065,0.000440104,0.000440104,0.000440104
47,2260.59,1.15073,0.52303,0.9016,0.84623,0.79621,0.8236,0.36202,1.98459,0.79493,1.08347,0.000437531,0.000437531,0.000437531
48,2308.48,1.15557,0.52344,0.9041,0.8454,0.80022,0.82766,0.36353,1.9815,0.79267,1.08223,0.000434911,0.000434911,0.000434911
49,2356.5,1.14761,0.52008,0.90107,0.85291,0.79783,0.82693,0.36359,1.98117,0.79056,1.08336,0.000432246,0.000432246,0.000432246
50,2404.18,1.14035,0.51446,0.89982,0.84912,0.79611,0.82829,0.36254,1.98414,0.78852,1.08379,0.000429535,0.000429535,0.000429535
51,2452.22,1.14233,0.51427,0.90019,0.85076,0.79837,0.83186,0.36361,1.98334,0.78686,1.08447,0.00042678,0.00042678,0.00042678
52,2500.11,1.1405,0.51482,0.9002,0.83345,0.81367,0.83073,0.36203,1.98314,0.78459,1.08481,0.000423982,0.000423982,0.000423982
53,2548.12,1.13487,0.50932,0.90102,0.83554,0.81511,0.83226,0.36236,1.98375,0.78348,1.08609,0.000421141,0.000421141,0.000421141
54,2595.95,1.11958,0.50825,0.89711,0.85455,0.79675,0.83229,0.36109,1.9866,0.78473,1.08626,0.000418257,0.000418257,0.000418257
55,2643.82,1.11993,0.50442,0.89703,0.8362,0.81348,0.83131,0.36244,1.9855,0.78403,1.08641,0.000415332,0.000415332,0.000415332
56,2691.76,1.11923,0.50358,0.89819,0.85374,0.79725,0.83033,0.36232,1.98535,0.78191,1.08707,0.000412366,0.000412366,0.000412366
57,2739.8,1.1186,0.50137,0.89446,0.83894,0.81572,0.83254,0.36461,1.98553,0.7807,1.08745,0.000409361,0.000409361,0.000409361
58,2787.75,1.11262,0.50133,0.89512,0.84582,0.80596,0.83134,0.36467,1.98475,0.7806,1.08755,0.000406315,0.000406315,0.000406315
59,2835.67,1.10532,0.49644,0.8929,0.84204,0.80609,0.83085,0.36466,1.98603,0.77835,1.08828,0.000403232,0.000403232,0.000403232
60,2883.75,1.10042,0.49573,0.89322,0.84531,0.8065,0.83004,0.36545,1.98717,0.77784,1.08855,0.00040011,0.00040011,0.00040011
61,2931.91,1.09971,0.49474,0.89027,0.84761,0.80792,0.83105,0.36531,1.98716,0.77697,1.08851,0.000396951,0.000396951,0.000396951
62,2979.8,1.09765,0.49378,0.88976,0.84841,0.8069,0.83216,0.36604,1.9859,0.77473,1.08897,0.000393757,0.000393757,0.000393757
63,3027.86,1.09264,0.49302,0.89049,0.8466,0.80596,0.83016,0.36589,1.98724,0.7744,1.0894,0.000390526,0.000390526,0.000390526
64,3075.8,1.08299,0.4882,0.88564,0.84653,0.80542,0.82929,0.366,1.98787,0.77402,1.08978,0.000387261,0.000387261,0.000387261
65,3123.81,1.08201,0.48984,0.88625,0.84577,0.80488,0.82908,0.36722,1.98857,0.77269,1.09037,0.000383963,0.000383963,0.000383963
66,3171.48,1.07807,0.48589,0.88535,0.84582,0.80542,0.82916,0.36724,1.98982,0.77332,1.09086,0.000380631,0.000380631,0.000380631
67,3219.67,1.07134,0.47897,0.88327,0.84643,0.80661,0.8295,0.36747,1.9898,0.77199,1.09168,0.000377266,0.000377266,0.000377266
68,3267.46,1.07567,0.48363,0.88316,0.84982,0.80665,0.83034,0.36751,1.98882,0.77095,1.09195,0.000373871,0.000373871,0.000373871
69,3315.29,1.06609,0.48016,0.88094,0.84702,0.80724,0.83069,0.36749,1.989,0.77075,1.09172,0.000370445,0.000370445,0.000370445
70,3363.06,1.0667,0.4754,0.8838,0.84873,0.80976,0.8332,0.36817,1.98913,0.77047,1.09212,0.000366989,0.000366989,0.000366989
71,3411.28,1.06306,0.47929,0.88113,0.84824,0.80921,0.83256,0.36796,1.99121,0.76876,1.09297,0.000363504,0.000363504,0.000363504
